user_id,first_name,last_name,email,gender,age,contact_info,location,total_balance,transaction_count,total_spent,account_age
100,Dipak,Khadka,dipak.khadka@Yahoooo.com,M,40,9852565586,Rasuwa,39008.11,30,50536.56,669
101,SABITA,Giri,sabita.giri@YAHoo.com,Other,25,9825795767,Pokhara123Chitwan,26149.59,204,15352.55,-3
102,Laxmi,Lamichhane,laxmi.lamichhane@YAHoo.com,Female,45,9819529937,Biratn@gar,42487.88,367,56148.47,653
103,Anjali,Neupane,anjali.neupane@Yahoooo.com,M,-1,,Biratn@gar,10641.1,319,12245.39,663
104,Laxmi,Shrestha,laxmi.shrestha@gmail.in,M,31,9821787435,Kathm#$ndu,9037.68,369,9582.57,138
105,Nurpu,Wangchuk,nurpu.wangchuk@yahoo.com,Female,40,9898498342,Pokhara,31508.58,266,31132.67,917
106,Pooja,Dangol,pooja.dangol@Yahoooo.com,M,39,9843687713,Pokahara,27288.89,219,17900.56,782
107,Suresh,Shyangba,suresh.shyangba@YAHoo.com,M,32,9898853176,Kathmandu,18495.03,375,21768.56,878
108,Laxmi,Shrestha,,F,19,9811204348,Lalitpur,22341.3,205,30345.29,36
109,Kalpana,Bhattarai,kalpana.bhattarai@GMAIL.COM,F,55,9825871166,lalitpur4443,47821.54,408,62895.7,462
110,Nawin,Oli,,Male,51,9824910068,lalitpur4443,5857.56,144,8568.36,186
111,Sabita,Ghimire,sabita.ghimire@Yahoooo.com,M,45,9848706285,Biratn@gar,27784.3,88,35714.79,717
112,Arjun,Rai,arjun.rai@YAHoo.com,Female,40,9818499577,Kathm#$ndu,38851.69,159,42028.8,546
113,Sunita,Ghale,sunita.ghale@gmail.in,Other,25,9854318561,Pokhara123Chitwan,14740.82,84,13296.01,572
114,Pramila,Limbu,pramila.limbu@gmail.com,Other,21,9835886220,lalitpur4443,22705.87,316,30799.02,730
115,Suman,Pandit,suman.pandit@gmail.com,Male,58,9889290882,Kathm#$ndu,27648.65,225,27225.24,616
116,Sarita,Khatri,sarita.khatri@yahoo.com,F,24,9862643962,Pokahara,45655.21,109,39052.14,112
117,Renjen,Khanal,,Other,44,9854827003,Pokhara,26282.03,192,19918.07,794
118,Anjali,Shrestha,anjali.shrestha@gmail.com,Female,24,9867436633,Kathmandu,45652.92,235,59213.45,270
119,Priya,Dahal,priya.dahal@Yahoooo.com,Other,48,9892546882,Kathm#$ndu,19604.39,411,16199.36,-10
120,Nawin,Oli,nawin.oli@Yahoooo.com,Male,47,9879864757,Biratn@gar,49178.5,418,60474.96,204
121,Akash,Dahal,akash.dahal@Yahoooo.com,Other,46,9843193631,Pokhara,43690.85,272,52439.72,695
122,SARITA,Subedi,sarita.subedi@YAHoo.com,Female,41,9841268949,Pokahara,40650.37,195,40810.11,700
123,Krishna,Tamang,krishna.tamang@GMAIL.COM,Other,58,,Pokhara123Chitwan,30193.78,119,17324.18,153
124,Anil,Karki,anil.karki@gmail.in,F,55,9812959032,Pokhara123Chitwan,14163.53,145,8490.28,482
125,Anjali,Maharjan,anjali.maharjan@gmail.in,F,54,9828471948,Pokahara,34281.85,261,32573.59,259
126,Sanjay,Magar,sanjay.magar@Yahoooo.com,Female,18,9859734952,Kathm#$ndu,11929.26,370,15923.45,817
127,Nurpu,Shrestha,nurpu.shrestha@Yahoooo.com,Male,19,9877266254,lalitpur4443,31675.66,37,20684.53,161
128,Sabita,Khatri,sabita.khatri@YAHoo.com,Female,39,9836306926,Raasuwa,38915.78,63,21554.32,335
129,Suresh,Bote,suresh.bote@Yahoooo.com,Other,24,9831205751,Rasuwa,19408.26,141,23157.83,209
130,Hari,Neupane,hari.neupane@GMAIL.COM,Female,36,9848842991,Pokahara,5218.51,443,6899.6,455
131,Gita,Pandit,gita.pandit@yahoo.com,Female,58,9837162641,rasuwa,3022.23,137,2554.34,62
132,Bikram,Maharjan,bikram.maharjan@Yahoooo.com,Other,25,9843978035,Kathm#$ndu,11953.15,220,14303.69,997
133,Laxmi,Damrang,laxmi.damrang@Yahoooo.com,M,26,9894529828,Pokahara,2474.62,173,2649.03,49
134,Nurpu,Acharya,nurpu.acharya@gmail.in,Female,25,9816213057,Kathmandu,9140.66,213,13502.42,698
135,Bishnu,Limbu,bishnu.limbu@YAHoo.com,F,20,9849950889,Pokhara,8552.68,420,4961.47,357
136,Nisha,Dahal,nisha.dahal@GMAIL.COM,Female,47,9870012349,rasuwa,13135.64,141,18752.35,556
137,Lampasang,Ghale,lampasang.ghale@YAHoo.com,Other,25,9827759486,Pokhara,47016.81,301,37968.99,-17
138,Rajesh,Lama,rajesh.lama@yahoo.com,M,24,9853574249,Raasuwa,18015.69,395,11526.68,747
139,Sunita,Chaudhari,sunita.chaudhari@GMAIL.COM,Female,45,9836787647,rasuwa,32360.4,210,20530.35,795
140,Laxmi,Khanal,laxmi.khanal@gmail.com,Female,19,9854210822,lalitpur4443,7295.96,292,6866.01,13
141,Akash,Thapa,akash.thapa@GMAIL.COM,F,53,9853251255,Kathmandu,3039.03,79,4530.54,-33
142,Krishna,Ghimire,krishna.ghimire@gmail.in,Other,53,9825409136,lalitpur4443,5417.69,187,3137.81,322
143,Rajan,Sapkota,rajan.sapkota@gmail.com,Other,54,9811748727,lalitpur4443,22673.2,96,28024.72,175
144,Sanjay,Dahal,sanjay.dahal@gmail.in,Female,56,9892284337,Biratn@gar,29132.72,161,33892.2,530
145,Nisha,Bhattarai,nisha.bhattarai@yahoo.com,F,34,9886131599,Kathmandu,8042.93,375,11591.85,453
146,Nawin,Bomjan,nawin.bomjan@gmail.com,M,40,9868261856,Bhaktapur,22793.36,323,22179.48,790
147,Lampasang,Bhandari,lampasang.bhandari@YAHoo.com,M,53,9873556147,Kathm#$ndu,809.14,27,602.8,323
148,Bibek,Karki,bibek.karki@yahoo.com,Male,52,9855612313,Lalitpur,27654.27,131,36113.33,845
149,Anil,Neupane,anil.neupane@GMAIL.COM,Other,-1,9876241488,Balen City,34134.66,55,19328.26,256
150,Aarun,Giri,aarun.giri@GMAIL.COM,Female,29,9864774775,Kathm#$ndu,14306.95,331,20728.71,807
151,PRAMILA,Shakya,pramila.shakya@Yahoooo.com,Male,23,9816073843,rasuwa,48418.57,63,28355.3,587
152,Sarita,Bhattarai,sarita.bhattarai@gmail.in,Male,35,9818069679,Pokahara,36964.34,106,24367.21,301
153,Suresh,Budhathoki,suresh.budhathoki@gmail.com,Other,32,9823422215,Kathm#$ndu,2170.06,224,2136.61,-27
154,Laxmi,Basnet,laxmi.basnet@GMAIL.COM,M,29,9837892653,P0khara,8490.97,179,7913.15,54
155,Rohan,Limbu,rohan.limbu@Yahoooo.com,Male,-1,9847194544,rasuwa,34940.4,30,23158.84,440
156,Krishna,Gurung,krishna.gurung@yahoo.com,Female,-1,9860485195,Lalitpur,21093.14,398,19482.79,402
157,Shanti,Ghale,shanti.ghale@Yahoooo.com,Male,35,9817517536,Biratn@gar,41997.66,275,26951.82,992
158,Rajesh,Khatri,rajesh.khatri@gmail.com,Other,21,9826004630,Raasuwa,38140.21,268,35029.94,716
159,Karuna,Pandit,karuna.pandit@GMAIL.COM,Other,44,,rasuwa,12860.54,320,13291.03,584
160,Sabina,Pandey,sabina.pandey@YAHoo.com,Female,29,9833616058,Lalitpur,18804.91,127,12996.94,940
161,nawin,Lamichhane,nawin.lamichhane@gmail.com,Female,16,,Kathmandu,8532.79,144,6804.0,320
162,Suman,Bhattarai,suman.bhattarai@GMAIL.COM,Other,16,9868884546,Pokhara123Chitwan,9657.65,322,13748.53,676
163,Prakash,Thapa,prakash.thapa@YAHoo.com,F,20,9831404346,Rasuwa,13092.19,350,14147.86,947
164,Laxmi,Dangol,laxmi.dangol@YAHoo.com,Female,-1,9868519948,Balen City,33409.41,316,36863.72,716
165,bibek,Dangol,bibek.dangol@GMAIL.COM,Male,26,9872351537,Kathmandu,10997.43,409,6765.59,338
166,Samjhana,Dangol,samjhana.dangol@GMAIL.COM,Male,22,9894590629,lalitpur4443,33372.75,81,38230.82,918
167,Nurpu,Pandey,nurpu.pandey@gmail.in,F,38,9816506728,Pokhara123Chitwan,15783.42,102,14284.37,6
168,Ramesh,Pandit,ramesh.pandit@gmail.com,Female,46,9820791096,Pokahara,25688.84,318,21272.59,84
169,Suman,Ghimire,suman.ghimire@Yahoooo.com,M,44,9825362051,Kathmandu,23339.55,199,29013.25,827
170,Rajan,Bhandari,rajan.bhandari@GMAIL.COM,F,40,9859114312,Raasuwa,8332.62,23,11698.9,665
171,Mina,Chaudhari,mina.chaudhari@GMAIL.COM,M,56,9856608916,Raasuwa,10722.89,345,5836.9,655
172,Sanjay,Chaudhari,sanjay.chaudhari@gmail.in,Male,22,9829186832,Bhaktapur,5610.79,393,6613.77,716
173,Rajan,Pandey,rajan.pandey@YAHoo.com,Female,51,9843112121,Lalitpur,47419.52,57,70222.06,94
174,Bishnu,Damrang,bishnu.damrang@YAHoo.com,Male,29,9865807660,Pokhara123Chitwan,40139.56,83,52308.97,348
